
1+1,2,2021/10/28 12:13=Greivin
2+2,4,2021/10/28 12:13=Greivin
1+1,2,2021/10/28 12:19=Pedro
3*5,15,2021/10/28 12:19=Pedro
5*2,10,2021/10/28 12:21=Pedro
1-1,0,2021/10/28 12:25=John
1+9,10,2021/10/28 12:25=John
2+2,4,2021/10/28 12:28=Juan
4*8,32,2021/10/28 12:29=Juan
2+4+6,12,2021/10/28 12:30=Juan
2+2,4,2021/10/28 12:33=Juan
2+2,4,2021/10/28 12:49=Greivin
2+2,4,2021/10/28 12:52=John
1+1,2,2021/10/28 12:53=Juan
8%2(5+3)-4*1,65534,2021/10/29 12:41=Juan
2*8(5+1)+6,54,2021/10/29 12:43=Juan
2+2,4,2021/10/29 12:44=Juan
3+4,7,2021/10/29 12:44=Juan
3-1,2,2021/10/29 12:45=Juan
3-1+(6*4),26,2021/10/29 12:45=Juan
3-1+(6*4)+(8/4),28,2021/10/29 12:45=Juan
3*2+(5-2),9,2021/10/29 12:46=Greivin
10%2,0,2021/10/29 12:47=Juan
